6.110 , 17.592
5.528 , 9.130
8.519 , 13.662
7.003 , 11.854
5.860 , 6.823
8.383 , 11.886
7.476 , 4.348
8.578 , 12.000
6.486 , 6.599
5.055 , 3.817
5.711 , 3.252
14.164 , 15.505
5.734 , 3.155
8.408 , 7.226
5.641 , 0.716
5.379 , 3.513
6.365 , 5.305
5.130 , 0.561
6.430 , 3.652
7.071 , 5.389
6.189 , 3.139
20.270 , 21.767
5.490 , 4.263
6.326 , 5.188
5.565 , 3.083
18.945 , 22.638
12.828 , 13.501
10.957 , 7.047
13.176 , 14.692
22.203 , 24.147
5.252 , -1.220
6.589 , 5.997
9.248 , 12.134
5.892 , 1.849
8.211 , 6.543
7.933 , 4.562
8.096 , 4.116
5.606 , 3.393
12.836 , 10.117
6.353 , 5.497
5.407 , 0.557
6.883 , 3.912
11.708 , 5.385
5.774 , 2.441
7.825 , 6.732
7.093 , 1.046
5.070 , 5.134
5.801 , 1.844
11.700 , 8.004
5.542 , 1.018
7.540 , 6.750
5.308 , 1.840
7.424 , 4.288
7.603 , 4.998
6.333 , 1.423
6.359 , -1.421
6.274 , 2.476
5.640 , 4.604
9.310 , 3.962
9.454 , 5.414
8.825 , 5.169
5.179 , -0.743
21.279 , 17.929
14.908 , 12.054
18.959 , 17.054
7.218 , 4.885
8.295 , 5.744
10.236 , 7.775
5.499 , 1.017
20.341 , 20.992
10.136 , 6.680
7.335 , 4.026
6.006 , 1.278
7.226 , 3.341
5.027 , -2.681
6.548 , 0.297
7.539 , 3.885
5.037 , 5.701
10.274 , 6.753
5.108 , 2.058
5.729 , 0.480
5.188 , 0.204
6.356 , 0.679
9.769 , 7.543
6.516 , 5.344
8.517 , 4.242
9.180 , 6.798
6.002 , 0.927
5.520 , 0.152
5.059 , 2.821
5.708 , 1.845
7.637 , 4.296
5.871 , 7.203
5.305 , 1.987
8.293 , 0.145
13.394 , 9.055
5.437 , 0.617
